$$$Vapor-Liquid Equilibrium Data Set 20980
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C3H6O	58.080	67-64-1	Acetone
2	CHCl3	119.377	67-66-3	Chloroform
3	CH4O	32.042	67-56-1	Methanol
4	C6H6	78.114	71-43-2	Benzene
Pressure	101.30	kPa
T [K]	x1 [mol/mol]	x2 [mol/mol]	x3 [mol/mol]	y1 [mol/mol]	y2 [mol/mol]	y3 [mol/mol]
330.67	0.64300	0.06500	0.13100	0.66800	0.03700	0.18300
329.63	0.66100	0.03900	0.19100	0.67300	0.02200	0.22700
329.12	0.66400	0.02000	0.23800	0.67100	0.01200	0.25800
331.86	0.03300	0.12600	0.81600	0.04300	0.23200	0.66400
330.22	0.04600	0.21400	0.68000	0.04400	0.31500	0.56100
329.46	0.05000	0.29600	0.57400	0.03800	0.37800	0.50100
328.95	0.04500	0.36400	0.50400	0.02600	0.43400	0.46300
335.19	0.49100	0.42700	0.04200	0.52400	0.35700	0.08900
333.43	0.53100	0.35000	0.08900	0.54600	0.27000	0.16100
331.66	0.55300	0.25700	0.16600	0.55800	0.18500	0.23800
330.55	0.56100	0.17600	0.24300	0.56700	0.12400	0.29500
331.74	0.38700	0.09000	0.18500	0.40800	0.06100	0.30200
330.47	0.39500	0.05900	0.30000	0.40500	0.04100	0.36700
330.06	0.40200	0.04300	0.36700	0.41900	0.03200	0.39200
329.81	0.41500	0.03100	0.39700	0.43600	0.02300	0.40100
329.64	0.43200	0.02100	0.40900	0.45900	0.01600	0.40100
329.49	0.46100	0.01300	0.40000	0.48600	0.01100	0.38700
332.52	0.11400	0.27500	0.16100	0.10500	0.23400	0.38000
330.93	0.11800	0.22800	0.37000	0.10000	0.21800	0.45600
330.74	0.11100	0.20900	0.44100	0.09500	0.21300	0.48700
330.72	0.11400	0.20100	0.46900	0.10000	0.21300	0.49000
330.68	0.11300	0.20600	0.47800	0.09700	0.22000	0.49500
330.65	0.10800	0.20700	0.48800	0.09400	0.22400	0.49700
330.61	0.10500	0.21100	0.49500	0.08900	0.23700	0.50200
330.51	0.09000	0.23800	0.49400	0.08100	0.25000	0.50100
330.37	0.09000	0.24000	0.49500	0.07200	0.26900	0.49400
330.22	0.07900	0.25500	0.49300	0.06200	0.28900	0.49100
330.08	0.07100	0.27400	0.48900	0.05200	0.31200	0.48700
329.88	0.06500	0.29500	0.48500	0.04600	0.33600	0.48000
329.63	0.05600	0.31800	0.48600	0.03800	0.36600	0.47400
331.08	0.73000	0.05100	0.06500	0.77400	0.02900	0.09200
330.10	0.77300	0.03000	0.08800	0.79400	0.01700	0.11300
329.56	0.77700	0.02000	0.12500	0.78600	0.01100	0.14700
329.09	0.76900	0.01300	0.15700	0.77200	0.00700	0.17800
334.68	0.28500	0.52700	0.06900	0.26200	0.48600	0.17000
332.26	0.27900	0.47600	0.15600	0.22800	0.42800	0.28200
330.99	0.25600	0.41200	0.27500	0.19500	0.39200	0.36400
330.47	0.20700	0.37200	0.36400	0.16100	0.38300	0.40900
330.19	0.17300	0.35600	0.41000	0.12700	0.39400	0.43000
329.93	0.14200	0.36700	0.43700	0.10300	0.41400	0.43400
329.41	0.11100	0.38800	0.44900	0.07700	0.43600	0.44200
329.03	0.08900	0.42000	0.44100	0.05500	0.48100	0.42300
328.49	0.06700	0.46000	0.42900	0.03600	0.51800	0.41200
328.12	0.05600	0.49300	0.41500	0.02800	0.54500	0.40100
327.60	0.03500	0.51900	0.41800	0.01900	0.55800	0.40200
330.92	0.05800	0.10400	0.55300	0.05100	0.13700	0.53000
330.80	0.05700	0.13400	0.52900	0.04900	0.15800	0.53300
330.73	0.05400	0.15100	0.53400	0.04800	0.16400	0.53600
330.57	0.05200	0.15800	0.53500	0.04800	0.17100	0.54800
330.54	0.05100	0.16800	0.54400	0.04600	0.18100	0.54200
330.57	0.04800	0.17900	0.54000	0.03900	0.20400	0.52700
330.47	0.04400	0.19800	0.52400	0.03600	0.21900	0.52700
338.35	0.19500	0.03600	0.04000	0.30800	0.03100	0.16700
332.67	0.28500	0.02400	0.15200	0.32900	0.02400	0.31700
330.60	0.31400	0.01700	0.32900	0.33300	0.01300	0.40700
330.12	0.32400	0.01100	0.41500	0.33500	0.00600	0.45200
329.93	0.32300	0.00400	0.45900	0.35100	0.00400	0.45200
330.78	0.32800	0.05200	0.56700	0.36800	0.05100	0.51200
330.39	0.37200	0.05200	0.50400	0.40500	0.04900	0.46700
330.19	0.42300	0.04900	0.43800	0.45200	0.04000	0.42000
329.94	0.46600	0.04200	0.40100	0.49700	0.03200	0.38900
Source
Kurihara K.; Takimoto Y.; Ochi K.; Kojima K.: Vapor-Liquid Equilibrium Data for the Quaternary System Acetone + Chloroform + Methanol + Benzene at 101.3 kPa. J.Chem.Eng.Data 45 (2000) 792-795
Source
