No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C2H6O	46.069	64-17-5	Ethanol	
2	CHCl3	119.377	67-66-3	Chloroform	
Temperature [K]	Activity Coeff. at Inf. Dil.	Measurement Method	Source	
298.15	1.6500	NSGC	2	
298.15	1.7100	NSGC	3	
318.15	1.7000	GLCN	1	
Short Term	Explanation	
GLCN	GLC (not specified)	
NSGC	GLC (non steady state method)	
1	Yang Y.; Wu H.; Xie S.: The Measurement of Activity Coefficients at Infinite Dilution of Binary Volatile Liquid Systems by Gas-Liquid Chromatography. Chengdu-Keji-Daxue-Xuebao  (1983) 27-32	
2	Yang Y.; Xiao S.; Li H.; Fu Y.: The Measurement of Infinite Dilution Activity Coefficient By Non-Steaty-State Gas Chromatography. Chengdu-Keji-Daxue-Xuebao  (1988) 35-38	
3	Landau I.; Belfer A.J.; Locke D.C.: Measurement of Limiting Activity Coefficients Using Non-Steady-State Gas Chromatography. Ind.Eng.Chem.Res. 30 (1991) 1900-1906	
